Name	RA	DEC
J024825.26-002541.4	42.1053	-0.4282
J031618.15+010021.9	49.0757	1.00607
J035006.47-001302.3	57.526989564	-0.217307988216
J075524.66+265910.7	118.852820823	26.9863497763
J075614.54+170113.3	119.060993252	17.0202860988
J075641.81+282218.8	119.174197002	28.3718488174
J080222.87+232428.9	120.5953	23.408
J081329.70+544441.2	123.37383	54.74482
J082212.87+580141.9	125.5537	58.02836
*J082334.84+031315.6	125.8952	3.221
*J084000.37+180530.9	130.00156	18.091948
*J084236.57+103313.9	130.6524	10.5539
J084442.72+293243.0	131.178	29.5453
J085233.75+135028.3	133.1406	13.8412
*J091640.98+182807.8	139.1708	18.4689
J095033.32+340556.3	147.638799664	34.0988189132
J095523.17+005243.6	148.846633049	0.878933630002
*J101042.54+125516.7	152.6772	12.9213
J102828.94+011459.5	157.120583254	1.24985362288
*J103410.15+580349.1	158.5423	58.0636
*J103657.59+465637.9	159.24	46.9439
*J104457.79+035313.1	161.2408	3.887
J105324.33+164735.1	163.3514	16.7932
*J112339.01+232259.1	170.9126	23.3831
J112925.95+212107.6	172.3582	21.3521
*J113257.32+312831.8	173.2388	31.4755
*J115104.82+051446.3	177.7701	5.2462
*J115528.34+573951.9	178.8681	57.6644
*J120122.30+021108.3	180.343	2.1856
*J120503.53+455150.9	181.2647541	45.8641727
*J120752.86+430639.7	181.9702	43.1112
*J121008.34+443906.5	182.5348	44.6518
J121155.68+465854.5	182.9816	46.9822
J121923.37+193513.9	184.8473	19.5873
*J122548.86+333248.7	186.4536	33.5469
J122647.94+074017.5	186.6998	7.6716
*J123520.04+393109.0	188.8335	39.5192
*J123702.26+065531.0	189.2594	6.9253
*J124610.70+261502.2	191.5448	26.2502
*J132852.95+155934.3	202.2207	15.9929
*J132916.55+170020.9	202.31899	17.005835
*J135125.37+401247.7	207.8557	40.2132
*J142342.87+225728.8	215.9286	22.958
J145649.42+413546.8	224.205960905	41.5964025465
J150100.83+010049.9	225.2535	1.0139
*J150310.42+184308.7	225.7935	18.7191
*J150934.17+373146.1	227.3924	37.5295
*J153704.16+551550.5	234.2674	55.2641
*J154748.99+220303.1	236.9541	22.0509
*J161902.54+291022.2	244.7604	29.1728
*J163937.26+270750.2	249.9053	27.1306
*J163937.26+270750.2	249.9053	27.1306
J164238.37+223306.5	250.6602	22.5525
*J164710.66+210514.5	251.7944	21.0874
