RA_og,DEC_og,Name SDSS,Stellar_mass,sdss_z,r_mag,g_mag,Airmass
42.1053,-0.4282,J024825.26-002541.4,8.928205,0.09425153,17.70443,18.33216,1.2124571423119286
49.0757,1.00607,J031618.15+010021.9,8.7,0.08041086,18.5365,19.00201,1.193209307952682
57.526989564,-0.217307988216,J035006.47-001302.3,8.5,0.02213931,16.4152,17.04,1.2093989424985654
118.852820823,26.9863497763,J075524.66+265910.7,8.5,0.03234024,15.71418,16.10461,1.0079324964042842
119.060993252,17.0202860988,J075614.54+170113.3,8.5,0.07218827,15.10972,15.78505,1.0460916296828098
119.174197002,28.3718488174,J075641.81+282218.8,8.4,0.01686411,18.33355,18.52655,1.0051077173274108
120.5953,23.408,J080222.87+232428.9,7.957037,0.01539851,17.7994,18.1708,1.017486005017667
123.37383,54.74482,J081329.70+544441.2,8.7,0.02585681,17.39808,17.71693,1.069731518022036
125.5537,58.02836,J082212.87+580141.9,8.3,0.01523568,17.45324,17.81537,1.0948567361610526
125.8952,3.221,J082334.84+031315.6,6.810309,0.009771029,15.3025,15.30205,1.165443520470238
130.00156,18.091948,J084000.37+180530.9,8.244097,0.0150101,19.47863,18.88862,1.0406631646463125
130.6524,10.5539,J084236.57+103313.9,7.009901,0.01031837,17.24657,17.22702,1.0915489420628142
131.178,29.5453,J084442.72+293243.0,7.26298,0.007061027,17.82371,18.12501,1.0042365279346632
133.1406,13.8412,J085233.75+135028.3,7.354638,0.005075085,16.62567,16.91407,1.066558133753265
139.1708,18.4689,J091640.98+182807.8,7.4379,0.0217707,18.14845,17.97043,1.0400004204834878
147.638799664,34.0988189132,J095033.32+340556.3,8.5,0.01657376,16.47058,16.82601,1.0009030177540696
148.846633049,0.878933630002,J095523.17+005243.6,8.5,0.02181457,16.44334,16.90248,1.1958860823004098
152.6772,12.9213,J101042.54+125516.7,8.679251,0.02231515,17.62936,17.04515,1.073043256586143
157.120583254,1.24985362288,J102828.94+011459.5,8.5,0.06131285,16.66143,17.08498,1.1906093568583551
158.5423,58.0636,J103410.15+580349.1,7.001881,0.007472512,16.48054,16.32335,1.0942974234874259
159.24,46.9439,J103657.59+465637.9,8.951357,0.008234732,18.05,17.95,1.025755541796572
161.2408,3.887,J104457.79+035313.1,6.796047,0.01287257,17.75035,17.51051,1.158922777249552
163.3514,16.7932,J105324.33+164735.1,7.054074,0.003653777,24.80203,25.11438,1.0481888788618345
170.9126,23.3831,J112339.01+232259.1,9.05577,0.04064352,16.98032,17.44135,1.0184210709734556
172.3582,21.3521,J112925.95+212107.6,7.784028,0.01301569,17.49413,17.68906,1.025421735928852
173.2388,31.4755,J113257.32+312831.8,7.573713,0.03313066,18.74953,18.50045,1.0010636995403364
177.7701,5.2462,J115104.82+051446.3,6.572902,0.004882859,17.05615,17.14322,1.1433527395250702
178.8681,57.6644,J115528.34+573951.9,7.659842,0.01726196,16.68321,16.38873,1.0910979139543469
180.343,2.1856,J120122.30+021108.3,6.086325,0.003251394,17.63082,17.66074,1.178329120245546
181.2647541,45.8641727,J120503.53+455150.9,7.5,0.065,20.96688,19.77995,1.021416904383314
181.9702,43.1112,J120752.86+430639.7,7.509005,0.002126306,15.18665,15.7308,1.012596157678713
182.5348,44.6518,J121008.34+443906.5,7.243496,0.02274205,18.79676,18.58645,1.0174511064604281
182.9816,46.9822,J121155.68+465854.5,7.555501,0.0032868,23.58898,23.9272,1.026213390124616
184.8473,19.5873,J121923.37+193513.9,6.983298,0.003176764,19.27519,19.61163,1.0345012931545907
186.4536,33.5469,J122548.86+333248.7,7.397502,0.001063667,13.74094,14.2381,1.0003854947271762
186.6998,7.6716,J122647.94+074017.5,7.878288,0.002035043,14.77199,15.42787,1.1172381560519042
188.8335,39.5192,J123520.04+393109.0,7.895042,0.02093891,17.24485,17.24173,1.0044952584725146
189.2594,6.9253,J123702.26+065531.0,7.341579,0.005381168,16.03036,15.70733,1.1244097355635463
191.5448,26.2502,J124610.70+261502.2,7.387864,0.00630545,16.31771,16.4056,1.0107599341333413
202.2207,15.9929,J132852.95+155934.3,7.179463,0.02274659,18.40713,18.07078,1.0523088414049253
202.31899,17.005835,J132916.55+170020.9,8.969508,0.01621318,18.42313,18.21253,1.0463923180717003
207.8557,40.2132,J135125.37+401247.7,9.013747,0.04640685,14.38763,14.9449,1.006585130575661
215.9286,22.958,J142342.87+225728.8,7.64971,0.03284804,18.39089,17.85476,1.0198966167620054
224.205960905,41.5964025465,J145649.42+413546.8,8.5,0.01645043,15.16132,15.54583,1.0089450056863543
225.2535,1.0139,J150100.83+010049.9,7.324849,0.005791203,17.2677,17.73861,1.1932881095484313
225.7935,18.7191,J150310.42+184308.7,8.737647,0.06540295,18.53661,18.73768,1.0370384344366141
227.3924,37.5295,J150934.17+373146.1,7.784119,0.03254863,18.06546,17.18654,1.0020393034739266
234.2674,55.2641,J153704.16+551550.5,6.88683,0.002249602,17.64253,16.70188,1.0726335135393101
236.9541,22.0509,J154748.99+220303.1,7.788645,0.03140197,18.37803,18.07654,1.023910736352432
244.7604,29.1728,J161902.54+291022.2,7.557609,0.008457912,17.28451,17.59005,1.005151435287748
249.9053,27.1306,J163937.26+270750.2,7.586569,0.04064352,20.06445,19.8885,1.0075303351946168
249.9053,27.1306,J163937.26+270750.2,7.586569,0.03310803,20.06445,19.8885,1.0075303351946168
250.6602,22.5525,J164238.37+223306.5,7.60944,0.01713577,16.6582,16.5973,1.0209889976716873
251.7944,21.0874,J164710.66+210514.5,6.713388,0.009099371,17.18559,17.05315,1.0274365217471186
